ELEV	LAT	LON
aixas	42.4833	1.46667
aixirivali	42.4667	1.5
andorra	42.5	1.51
ansalonga	42.5667	1.51667
anyos	42.5333	1.53333
arans	42.5833	1.51667
arinsal	42.5667	1.48333
aubinya	42.45	1.5
bicisarri	42.4833	1.46667
canillo	42.5667	1.6
casas vila	42.5333	1.56667
certers	42.4667	1.5
el pui	42.55	1.516
els bons	42.5333	1.58333
el serrat	42.6167	1.55
els plans	42.5833	1.63333
el tremat	42.55	1.583
el vilar	42.5667	1.6
encamp	42.5333	1.58333
engordany	42.5167	1.55
ercs	42.5667	1.5
escaldas	42.5	1.53
escas	42.55	1.516
fontaneda	42.45	1.466
juberri	42.4333	1.5
la cortinada	42.5667	1.51667
la costa	42.5833	1.63333
las escadas	42.5	1.53
les bons	42.5333	1.58333
les escaldes	42.5	1.53
llumeneres	42.4667	1.51667
lors	42.6	1.53
lo serrat	42.6167	1.55
mas d'alins	42.4333	1.45
mas de ribafeta	42.5667	1.48333
meritxell	42.55	1.6
nagol	42.4667	1.5
ordino	42.55	1.533
prats	42.5667	1.6
ransol	42.5833	1.63333
sanctuaire de meritxeli	42.55	1.6
san joan de casettas	42.5667	1.61667
san julia	42.4667	1.5
sant joan de casellas	42.5667	1.61667
sant julia de loria	42.4667	1.5
sant pere	42.5833	1.65
santuari de meritxell	42.55	1.6
sertes	42.4667	1.5
sispony	42.5333	1.51667
soldeu	42.5833	1.66667
sornas	42.5667	1.53333
vila	42.5333	1.56667
vixesarri	42.4833	1.46667
xixerella	42.55	1.483
abu dabi	24.4667	54.3667
abu hail	25.2855	55.3296
abu zabi	24.4667	54.3667
ad dharbaniya	25.7833	55.9333
adgat	25.4987	56.3583
adh dhaid	25.2881	55.8816
adhin	25.4601	56.0126
afarah	25.0411	56.3149
`ain	24.2127	55.7835
ain al ghamur	24.9595	56.3159
`ain dhawahir	24.2127	55.7835
ajima	25.3983	56.1507
akamiya	25.6003	56.2691
al abadilah	25.4535	56.1899
al ain	24.1917	55.7606
al ajman	25.4069	55.4441
al `ayn	24.9595	56.3159
al badiyah	25.4323	56.3457
al bithnah	25.1895	56.2352
al daid	25.2881	55.8816
al dini	25.9323	56.4051
al duss	25.9073	56.393
al fai	26.0214	56.0914
al fiyya	24.298	53.2114
al-fudjayra	25.1164	56.3414
al fuqait	25.5997	56.3425
al fuyay'	24.298	53.2114
al-ghil	25.4017	56.0681
algida	25.9961	56.0842
al gissemari	25.1434	56.2484
al hagarein	24.799	56.1154
al haira	25.3815	55.4196
alhala	25.4774	56.1824
al hama'im	22.958	54.2972
al hamra'	25.7091	55.8077
al hamriya	25.4782	55.5338
al hayir	25.9786	56.0853
al hayl	25.0922	56.2442
al hinya	25.3509	56.0253
al-hirah	25.3815	55.4196
al-humaimah	22.958	54.2972
al ian	24.2127	55.7835
aliya	25.354	55.3719
al jazirah al hamra'	25.7091	55.8077
al jima	24.2491	55.7458
al khalabiya	25.3812	56.1736
al kharan	25.7162	55.9678
al khatt	25.6173	56.0111
al khawiya	25.9956	56.3805
al khulaybiyah	25.3812	56.1736
al layyah	25.354	55.3719
al maham	25.675	55.99
al-mariyya al-gharbyya	23.1027	53.5818
al-mariyya	23.1385	53.7426
al-mirfa'	24.0991	53.4908
al mu`taridh	24.219	55.7399
al muwaijh	24.2017	55.7164
al-nashash	23.0811	54.0364
al-naslah	24.8659	56.2609
al odeid	24.6167	51.4
al-qatarah	24.2599	55.7557
al qawr	24.9121	56.0957
al qima	24.2491	55.7458
al qor	24.9121	56.0957
al-rol	25.6011	56.3228
al saad	24.15	55.76
al satwa	25.229	55.2723
al selimat	24.2219	55.6031
al sharjah	25.3573	55.4033
al-tarif	24.054	53.7635
al-'udaid	24.6167	51.4
al wathba	24.2596	54.7078
an naslah	24.8659	56.2609
aqqa	25.4987	56.3583
`arada	22.9923	53.4289
araibi	25.7895	55.9767
ar ru'ays	24.1103	52.7306
ash 'mariqah	25.3573	55.4033
`asimah	25.3983	56.1507
as salihiyah	25.7216	55.9908
as saqamqam	25.1747	56.3304
athaba	25.1636	56.0962
at tarif	24.054	53.7635
`awanat	25.3658	55.8562
ayaina	25.4528	56.1688
ayn al faidah	24.0833	55.6833
`ayn al ghamur	24.9595	56.3159
`ayn zawahir	24.2127	55.7835
badiya	25.4323	56.3457
bandar mirfah	24.0991	53.4908
barahah	25.2667	55.3167
batain	24.4429	54.3554
bidayarat margham	24.8708	55.5491
bidiya	25.4323	56.3457
bid' zayed	23.6307	53.7299
bilaida	25.2239	56.2022
bithna	25.1895	56.2352
budayyah	25.4323	56.3457
bulaidha	25.2239	56.2022
chuwais	25.781	55.9787
daba al-ghurfah	25.5977	56.2767
daba al-hisn	25.6195	56.2729
dabei	25.2582	55.3047
dadna	25.5242	56.3587
dafir	23.1273	53.7544
dafta	25.2723	56.1835
daira	25.2731	55.3064
dasa	24.2784	52.6237
datta	25.2723	56.1835
dayd	25.2881	55.8816
deira	25.2731	55.3064
dhadna	25.5242	56.3587
dhafir	23.1273	53.7544
dhaiah	25.8878	56.0582
dhaid	25.2881	55.8816
dhaiyah	25.8878	56.0582
dhawaihir	23.2833	53.2
dhayd	25.2881	55.8816
dhuwaiher	23.1392	53.6934
diba al hisn	25.6195	56.2729
dibai	25.2582	55.3047
dibba	25.6195	56.2729
digdagga	25.6656	55.969
dirah	25.2731	55.3064
dubai	25.2582	55.3047
duhayd	25.2881	55.8816
duwaihir	23.2833	53.2
duwayhin	23.0773	54.0842
el ain	24.2127	55.7835
fahlain	25.6841	55.9675
faiyada	24.9577	56.206
fakkan	25.3313	56.342
falaiya	25.7348	55.9828
falaj al ali	25.354	55.8533
fara	25.4143	56.0912
farfar	25.1484	56.2224
fashra	24.8841	56.2053
fayyadah	24.9577	56.206
fili ma`ala	25.354	55.8533
fort dabei	25.2582	55.3047
fujaira	25.1164	56.3414
fulayyah	25.7348	55.9828
furfar	25.1484	56.2224
gargaha	25.7667	56.0667
garmada	23.1196	53.8286
ge'aisa	22.9941	54.2218
